"id","estado","informantes","qnt_cru","qnt_industrializado"
1,"Rondônia",69,"137562.00","137553.00"
2,"Acre",8,"2482.00","2482.00"
3,"Amazonas",23,"2713.00","2713.00"
4,"Roraima",3,"0.00","0.00"
5,"Pará",36,"65158.00","65148.00"
6,"Amapá",0,"0.00","0.00"
7,"Tocantins",43,"27127.00","27126.00"
8,"Maranhão",18,"12507.00","12507.00"
9,"Piauí",9,"7201.00","7200.00"
10,"Ceará",83,"132161.00","132161.00"
11,"Rio G Norte",25,"26209.00","26133.00"
12,"Paraíba",19,"28872.00","28872.00"
13,"Pernambuco",66,"79963.00","79245.00"
14,"Alagoas",34,"30328.00","30328.00"
15,"Sergipe",20,"152092.00","152092.00"
16,"Bahia",99,"161113.00","162112.00"
17,"Minas Gerais",569,"1673283.00","167132.00"
18,"Espírito Santo",49,"60949.00","60757.00"
19,"Rio de Janeiro",76,"128077.00","128072.00"
20,"São Paulo",203,"605651.00","605895.00"
21,"Paraná",152,"1091653.00","1090536.00"
22,"Santa Catarina",86,"837291.00","837248.00"
23,"Rio Grande do Sul",133,"862717.00","861924.00"
24,"Mato Grosso do Sul",35,"26029.00","26017.00"
25,"Mato Grosso",48,"86737.00","86279.00"
26,"Goiás",108,"542767.00","542115.00"
27,"Distrito Federal",1,"0.00","0.00"
